City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,baruun-urt,46.6806,113.2792,5.85,28,2,8.88,MN,1715635416
83,ribeira brava,32.65,-17.0667,20.35,68,2,0.95,PT,1715635416
84,portland,45.5234,-122.6762,23.28,54,75,4.12,US,1715634904
85,ushuaia,-54.8,-68.3,4.81,70,40,16.46,AR,1715635262
86,alvear,-29.0968,-56.5504,13.19,75,100,5.1,AR,1715635417
87,wau,7.7029,27.9953,26.27,71,91,2.66,SS,1715635417
88,east london,-33.0153,27.9116,19.89,84,99,8.13,ZA,1715635417
89,pont rouge,48.8833,-72.0825,12.16,90,100,3.99,CA,1715635417
90,turan,16.0678,108.2208,27.99,78,40,1.03,VN,1715635411
91,rusera,25.75,86.0333,31.14,48,64,3.28,IN,1715635418
92,bardai,11.65,7.2333,29.86,46,74,5.37,NG,1715635418
93,hammerfest,70.6634,23.6821,6.25,93,75,1.54,NO,1715635418
94,saipan,15.1355,145.701,29.39,74,20,4.12,MP,1715635419
95,antsiranana,-12.2787,49.2917,26.33,68,100,6.03,MG,1715635419
96,kerikeri,-35.2268,173.9474,14.19,64,100,1.49,NZ,1715635419
97,margaret river,-33.95,115.0667,16.4,41,26,4.01,AU,1715635419
98,port mathurin,-19.6833,63.4167,24.99,62,10,5.96,MU,1715635419
99,santa cruz,-17.8,-63.1667,16.03,82,100,6.17,BO,1715635127
100,vila velha,-20.3297,-40.2925,27.97,74,0,6.17,BR,1715635128
101,araguaina,-7.1911,-48.2072,27.91,71,75,0.25,BR,1715635240
102,minas de marcona,-15.2119,-75.1103,18.65,58,2,7.55,PE,1715635420
103,colonia,50.9333,6.95,19.98,73,0,2.57,DE,1715635254
104,daru,-9.0763,143.2092,26.19,78,67,5.42,PG,1715635421
105,yacuiba,-22.038,-63.6797,12.31,79,100,2.11,BO,1715635421
106,thunder bay,48.4001,-89.3168,13.99,41,40,4.63,CA,1715635319
107,usogorsk,63.4106,48.6872,-5.19,97,100,2.42,RU,1715635422
108,murzuq,25.9155,13.9184,26.07,18,0,4.69,LY,1715635422
109,okha,53.5739,142.9478,0.14,85,100,1.34,RU,1715635422
110,vilyuchinsk,52.9306,158.4028,3.15,98,100,0.4,RU,1715635423
111,isafjordur,66.0755,-23.124,1.18,67,17,2.09,IS,1715635218
112,nova sintra,14.8667,-24.7167,24.2,77,22,9.65,CV,1715635423
113,georgetown,5.4112,100.3354,27.97,84,20,1.03,MY,1715635239
114,yuzhno-kurilsk,44.0306,145.8556,8.54,100,44,1.47,RU,1715635424
115,coracora,-15.0333,-73.7833,14.98,57,38,2.44,PE,1715635424
116,obong,9.741,123.5098,25.21,88,71,3.42,PH,1715635424
117,puerto ayora,-0.7393,-90.3518,28.98,93,61,2.24,EC,1715635424
118,cidreira,-30.1811,-50.2056,16.83,70,100,7.42,BR,1715635425
119,chanasma,23.7167,72.1167,29.92,44,100,3.75,IN,1715635425
120,lebu,-37.6167,-73.65,10.07,71,4,4.45,CL,1715635208
121,thompson,55.7435,-97.8558,9.09,49,20,1.54,CA,1715635425
122,sambhar,26.9167,75.2,31.11,14,82,1.98,IN,1715635426
123,broken hill,-31.95,141.4333,12.47,73,95,2.97,AU,1715635158
124,challapata,-18.9,-66.7667,17.17,30,0,3.73,BO,1715635426
125,alaghsas,17.0187,8.0168,33.34,15,47,2.13,NE,1715635426
126,bhimunipatnam,17.8833,83.4333,25.73,78,89,3.19,IN,1715635427
127,sao jose da coroa grande,-8.8978,-35.1478,26.75,80,19,2.8,BR,1715635427
128,mount pearl,47.5166,-52.7813,9.42,92,100,2.57,CA,1715635427
129,saldanha,-33.0117,17.9442,14.03,60,64,3.75,ZA,1715635427
130,martapura,-3.4167,114.85,27.05,94,100,2.06,ID,1715635427
131,port-vila,-17.7338,168.3219,23.78,94,40,0.51,VU,1715635428
132,anadyr,64.75,177.4833,2.28,80,0,3.0,RU,1715635428
133,lubang,13.8584,120.124,29.83,73,94,3.89,PH,1715635428
134,sikonge,-5.6333,32.7667,19.69,68,98,1.77,TZ,1715635428
135,tralee,52.2704,-9.7026,10.97,94,97,1.07,IE,1715635428
136,keflavik,64.0049,-22.5624,6.95,75,75,8.23,IS,1715635429
137,coari,-4.085,-63.1414,28.74,74,81,1.02,BR,1715635429
138,afaahiti,-17.75,-149.2833,28.93,74,43,7.97,PF,1715635395
139,turpan,42.9333,89.1667,30.28,23,100,0.37,CN,1715635430
140,iskateley,67.6803,53.1512,-4.43,94,80,3.58,RU,1715635430
141,talnakh,69.4865,88.3972,-2.11,95,99,2.73,RU,1715635430
142,luderitz,-26.6481,15.1594,17.52,60,2,1.48,NA,1715635430
143,flying fish cove,-10.4217,105.6791,25.82,94,100,3.6,CX,1715635431
144,rawson,-43.3002,-65.1023,8.21,54,35,6.58,AR,1715635431
145,mount isa,-20.7333,139.5,11.87,71,0,2.57,AU,1715635431
146,pratt,37.6439,-98.7376,23.34,49,0,6.69,US,1715635184
147,tacna,-18.0056,-70.2483,18.11,68,0,5.14,PE,1715635176
148,happy valley-goose bay,53.3168,-60.3315,13.17,50,40,5.14,CA,1715635432
149,namibe,-15.1961,12.1522,21.85,84,68,0.5,AO,1715635432
150,bredy,52.4153,60.3411,2.48,81,98,5.52,RU,1715635432
151,rampachodavaram,17.45,81.7667,25.87,77,90,0.83,IN,1715635433
152,shenjiamen,29.9576,122.298,14.64,67,7,1.02,CN,1715635433
153,parambu,-6.2111,-40.6944,25.44,60,15,2.15,BR,1715635433
154,dolni chiflik,42.9833,27.7167,8.12,90,1,1.54,BG,1715635433
155,ribeira grande,38.5167,-28.7,17.22,72,20,6.17,PT,1715635434
156,kurumkan,54.3,110.3,4.51,48,8,2.68,RU,1715635434
157,lihue,21.9789,-159.3672,27.58,73,40,4.63,US,1715635434
158,mount gambier,-37.8333,140.7667,8.1,84,21,0.82,AU,1715635435
159,namtsy,62.7161,129.6658,2.36,67,98,4.09,RU,1715635435
160,tarija,-21.5355,-64.7296,10.95,66,100,3.09,BO,1715635435
161,gavle,60.6745,17.1417,12.99,77,54,2.34,SE,1715635435
162,polyarnyy,69.1989,33.4478,0.12,98,95,4.09,RU,1715635436
163,zhangjiajie,29.1294,110.4783,17.52,79,3,1.56,CN,1715635436
164,antofagasta,-23.65,-70.4,14.6,84,87,3.29,CL,1715635285
165,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,99,100,0.89,RU,1715635436
166,kitimat,54.0524,-128.6534,13.84,64,99,0.89,CA,1715635436
167,taro,-8.3862,115.28,23.0,94,100,0.84,ID,1715635437
168,chonchi,-42.6128,-73.8092,9.56,80,5,1.3,CL,1715635437
169,port lincoln,-34.7333,135.8667,13.91,84,93,2.68,AU,1715635437
170,longyearbyen,78.2186,15.6401,-1.09,74,0,1.54,SJ,1715635437
171,traverse city,44.7631,-85.6206,19.91,53,75,5.14,US,1715635259
172,kodinar,20.7903,70.7031,28.97,65,33,3.52,IN,1715635438
173,vicosa do ceara,-3.5622,-41.0922,21.16,93,75,1.15,BR,1715635438
174,matamey,13.4231,8.4749,34.08,23,35,3.07,NE,1715635438
175,port moresby,-9.4431,147.1797,23.68,88,40,2.57,PG,1715635439
176,utrik,11.2278,169.8474,27.49,81,49,8.49,MH,1715635439
177,nabire,-3.3667,135.4833,24.79,93,100,1.31,ID,1715635439
178,hermanus,-34.4187,19.2345,15.45,83,71,4.27,ZA,1715635440
179,egremont,54.4794,-3.5276,15.26,83,100,8.15,GB,1715635440
180,wailua homesteads,22.0669,-159.378,27.24,76,40,4.63,US,1715635440
181,omdurman,15.6445,32.4777,37.91,9,8,9.83,SD,1715635441
182,talavera de la reina,39.9635,-4.8308,18.0,73,23,9.27,ES,1715635441
183,broome,42.2506,-75.833,20.89,68,100,3.6,US,1715635441
184,grand-lahou,5.1367,-5.0242,26.46,88,100,3.39,CI,1715635441
185,arkhangel'sk,64.5401,40.5433,0.07,100,20,1.0,RU,1715635442
186,dudinka,69.4058,86.1778,-1.85,98,100,3.58,RU,1715635442
187,ouro preto do oeste,-10.7481,-62.2158,28.2,86,33,0.7,BR,1715635417
188,new norfolk,-42.7826,147.0587,9.95,77,100,3.41,AU,1715635442
189,mejit,10.2753,170.8646,27.72,82,58,8.67,MH,1715635276
190,arraial do cabo,-22.9661,-42.0278,27.92,57,0,1.54,BR,1715635207
191,punta arenas,-53.15,-70.9167,5.06,65,0,7.2,CL,1715635443
192,pesqueira,-8.3578,-36.6964,21.27,78,29,2.86,BR,1715635443
193,sosnovka,56.255,51.2842,-1.52,91,13,1.7,RU,1715635444
194,banket,-17.3833,30.4,17.96,43,74,2.93,ZW,1715635444
195,harstad,68.799,16.5293,10.9,72,100,7.6,NO,1715635444
196,avarua,-21.2078,-159.775,24.03,88,75,3.09,CK,1715635445
197,roha,18.4333,73.1167,28.18,71,82,1.65,IN,1715635445
198,swift current,50.2834,-107.8014,18.45,52,0,4.63,CA,1715635445
199,kadayanallur,9.0833,77.35,27.28,82,98,1.04,IN,1715635445
200,al jawf,29.5,38.75,20.58,32,0,7.09,SA,1715635446
201,fale old settlement,-9.3852,-171.2468,29.8,73,100,7.13,TK,1715635446
202,les cayes,18.2,-73.75,29.23,69,8,4.4,HT,1715635446
203,labytnangi,66.6572,66.4183,-6.46,86,100,2.83,RU,1715635447
